Timeframe,Gate/Model,Sub-Path,Factor,Weight
Daily,Liquidity Target,Structural Liquidity,Swing,0.95
Daily,Liquidity Target,Structural Liquidity,Internal,0.6534
Daily,Liquidity Target,Structural Liquidity,Fractal,0.9751
Daily,Liquidity Target,Structural Liquidity,Old Points,1.097
4H,Always,,Swing,0.6204
4H,Always,,Internal,1.0236
4H,Always,,Fractal,1.1315
4H,Always,,Price in Swing OTE,0.3403
4H,Always,,Price in Internal OTE,0.975
4H,Mitigation OB,,Swept Liquidity,1.0887
4H,Mitigation OB,Swept Liquidity,Swing,0.95
4H,Mitigation OB,Swept Liquidity,Internal,0.95
4H,Mitigation OB,Swept Liquidity,Fractal,1.2572
4H,Mitigation OB,Swept Liquidity,Old Points,1
4H,Mitigation OB,Swept Liquidity,FVG Liquidity,1.0781
4H,Mitigation OB,Swept Liquidity,Equals,1.097
4H,Mitigation OB,Swept Liquidity,Previous Candle,1.1065
4H,Mitigation OB,,Has Inducement,1.1535
4H,Mitigation OB,,Caused Imbalance,0.9442
4H,Mitigation OB,,Caused Displacement,1.2743
4H,Mitigation OB,,Flip Zone,0.8543
4H,Mitigation OB,,Within Daily OB,0.7361
4H,Swept Liquidity,Structural Liquidity,Swing,1.05
4H,Swept Liquidity,Structural Liquidity,Internal,0.9975
4H,Swept Liquidity,Structural Liquidity,Fractal,1.0342
4H,Swept Liquidity,Structural Liquidity,Old Points,0.8936
4H,Swept Liquidity,,Equals,1.0447
4H,Swept Liquidity,,FVG,1.0754
4H,OB Target,,Swept Liquidity,1.0783
4H,OB Target,Swept Liquidity,Swing,0.95
4H,OB Target,Swept Liquidity,Internal,1.0448
4H,OB Target,Swept Liquidity,Fractal,1.0421
4H,OB Target,Swept Liquidity,Old Points,1.05
4H,OB Target,Swept Liquidity,FVG Liquidity,0.9851
4H,OB Target,Swept Liquidity,Equals,1.1519
4H,OB Target,Swept Liquidity,Previous Candle,1.0164
4H,OB Target,,Has Inducement,1.4338
4H,OB Target,,Caused Imbalance,0.8691
4H,OB Target,,Caused Displacement,1.062
4H,OB Target,,Flip Zone,1.1736
4H,OB Target,,Within Daily OB,1.0619
4H,Liquidity Target,,Equals,1.1827
4H,Liquidity Target,,Low Resistance Liquidity,1.0422
4H,Liquidity Target,,FVG Liquidity,1.3418
4H,Liquidity Target,Structural Liquidity,Swing,1.0474
4H,Liquidity Target,Structural Liquidity,Internal,1.3071
4H,Liquidity Target,Structural Liquidity,Fractal,1.0269
4H,Liquidity Target,Structural Liquidity,Old Points,1.0971
H1,Always,,Swing,1.0235
H1,Always,,Internal,0.9262
H1,Always,,Fractal,1.1315
H1,Always,,Price in Swing OTE,0.7999
H1,Mitigation OB,,Swept Liquidity,1.2569
H1,Mitigation OB,Swept Liquidity,Swing,1.2333
H1,Mitigation OB,Swept Liquidity,Internal,1.1576
H1,Mitigation OB,Swept Liquidity,Fractal,0.956
H1,Mitigation OB,Swept Liquidity,Old Points,1.05
H1,Mitigation OB,Swept Liquidity,FVG Liquidity,1.4519
H1,Mitigation OB,Swept Liquidity,Equals,1.1431
H1,Mitigation OB,Swept Liquidity,Time Based Liquidity,0.9728
H1,Mitigation OB,Swept Liquidity,Previous Candle,1.4096
H1,Mitigation OB,,Has Inducement,0.7587
H1,Mitigation OB,,Caused Imbalance,1.0239
H1,Mitigation OB,,Caused Displacement,0.9266
H1,Mitigation OB,,Flip Zone,0.7579
H1,Mitigation OB,,Within 4H OB,0.8382
H1,Swept Liquidity,Structural Liquidity,Swing,1
H1,Swept Liquidity,Structural Liquidity,Internal,1.2636
H1,Swept Liquidity,Structural Liquidity,Fractal,0.9851
H1,Swept Liquidity,Structural Liquidity,Old Points,1.0474
H1,Swept Liquidity,,Equals,1.1519
H1,Swept Liquidity,,FVG,1.5282
H1,Swept Liquidity,,Asian Liquidity,1.1265
H1,Swept Liquidity,,PDH/PDL,1.1709
H1,OB Target,,Swept Liquidity,1.0886
H1,OB Target,Swept Liquidity,Swing,1
H1,OB Target,Swept Liquidity,Internal,0.9975
H1,OB Target,Swept Liquidity,Fractal,0.9003
H1,OB Target,Swept Liquidity,Old Points,1
H1,OB Target,Swept Liquidity,FVG Liquidity,1.1025
H1,OB Target,Swept Liquidity,Equals,0.9003
H1,OB Target,Swept Liquidity,Time Based Liquidity,0.9975
H1,OB Target,Swept Liquidity,Previous Candle,0.9358
H1,OB Target,,Has Inducement,1.2003
H1,OB Target,,Caused Imbalance,0.8889
H1,OB Target,,Caused Displacement,0.9826
H1,OB Target,,Flip Zone,1.6208
H1,OB Target,,Within 4H OB,1.2005
H1,Liquidity Target,,Equals,1.8573
H1,Liquidity Target,,Low Resistance Liquidity,1.0395
H1,Liquidity Target,,FVG Liquidity,1.129
H1,Liquidity Target,,Asian Liquidity,1.129
H1,Liquidity Target,,PDH/PDL,0.738
H1,Liquidity Target,Structural Liquidity,Swing,1.0369
H1,Liquidity Target,Structural Liquidity,Internal,1.0251
H1,Liquidity Target,Structural Liquidity,Fractal,1.1148
H1,Liquidity Target,Structural Liquidity,Old Points,0.9975
H1,Liquidity Target,,NWOG,1.6
Entry,LC-1,,H1 OB is fractal,1.8969
Entry,LC-1,,Wicked the LID,1.5532
Entry,LC-1,,LID with FVG,1.1503
Entry,LC-1,,No imbalance while mitigation,1.7165
Entry,LC-1,,No other LIDs,1.4051
Entry,LC-1,,M15 Target Liquidity,0.9348
Entry,LC-1,M15 Target Liquidity,LRLQ,1.5284
Entry,LC-1,M15 Target Liquidity,Equals,1.0916
Entry,LC-2A,,Fake break with body close,1.2418
Entry,LC-2A,,Wicked the PBID,1.2416
Entry,LC-2A,,H1 OB is fractal,0.9194
Entry,LC-2A,,LID with FVG,0.9197
Entry,LC-2A,,No other LIDs,1.3723
Entry,LC-2A,,M15 Target Liquidity,0.9348
Entry,LC-2A,M15 Target Liquidity,LRLQ,1.5284
Entry,LC-2A,M15 Target Liquidity,Equals,1.0916
Entry,LC-2B,,Equals formed with less angle,1.0998
Entry,LC-2B,,H1 OB is fractal,1.0998
Entry,LC-2B,,LID with FVG,1.0998
Entry,LC-2B,,Wicked the PBID,0.9002
Entry,LC-2B,,No other LIDs,1.1576
Entry,LC-2B,,M15 Target Liquidity,0.9348
Entry,LC-2B,M15 Target Liquidity,LRLQ,1.5284
Entry,LC-2B,M15 Target Liquidity,Equals,1.0916
Entry,CE,,IBos with body close,0.8382
Entry,CE,,H1 OB is internal,1.2477
Entry,CE,,Has imbalance,0.8363
Entry,CE,,Has inducements,1.2478
Entry,CE,,Swept Liquidity,1.3795
Entry,CE,,No other LIDs,0.9728
Entry,CE,,M15 Target Liquidity,0.9348
Entry,CE,M15 Target Liquidity,LRLQ,1.5284
Entry,CE,M15 Target Liquidity,Equals,1.0916
